,Profile_10,Profile_7,Profile_1,Profile_4,Profile_6,Profile_8,Profile_2,Profile_3,Profile_9,Profile_5
Backend_Development,0.7493672253060684,0.718498185522421,0.6733000874815828,0.6033391107280052,0.5957380832104278,0.5788276312703348,0.530787232821028,0.5211762578256389,0.3938513809094084,0.28273796293792786
Frontend_Development,0.6103968925981013,0.6336405708914326,0.6771273867289447,0.5264267760047558,0.5427904573660173,0.4825747521300123,0.6236189670410096,0.4012506446448825,0.4366648490174349,0.39887775920093066
Team_Lead,0.46942271224584425,0.41075958551599434,0.42091056604418464,0.5898330933971275,0.48078717141576216,0.5452829146762458,0.5587342729835714,0.47229700286881604,0.6319050823620365,0.5911183398288219
Data_Engineer,0.6680679003925502,0.6524528776670583,0.7051209755753056,0.581847197286535,0.5678647095795774,0.5523392470857554,0.46625302384681894,0.5832914280713052,0.4163849430445775,0.30689199834301123
DevOps_Engineer,0.6414695708591351,0.5601981043789258,0.5676209916942089,0.7145967851808147,0.5957380832104278,0.5788276312703348,0.5307872328210279,0.43554652287384193,0.484062454694346,0.44101818957689554
Project_Manager,0.20813207857467353,0.17300820169070186,0.3837090182072751,0.4413746225943823,0.3744936540045521,0.44766075291424456,0.5609853486371524,0.4330130079846955,0.687619171719735,0.8250870230998705
Full_Stack_Developer,0.5703827053131115,0.503366468017524,0.4867560241638847,0.7627651951837037,0.5604967466099016,0.5452829146762459,0.5587342729835714,0.40819179221071955,0.562273628486963,0.49800601056873345
Database_Admin,0.6680679003925502,0.6524528776670583,0.7051209755753056,0.581847197286535,0.5678647095795774,0.5523392470857554,0.46625302384681894,0.5832914280713052,0.4163849430445775,0.30689199834301123
Cloud_Architect,0.6414695708591351,0.5601981043789258,0.5676209916942089,0.7145967851808147,0.5957380832104278,0.5788276312703348,0.5307872328210279,0.43554652287384193,0.484062454694346,0.44101818957689554
Tech_Lead,0.5703827053131115,0.503366468017524,0.4867560241638847,0.7627651951837037,0.5604967466099016,0.5452829146762459,0.5587342729835714,0.40819179221071955,0.562273628486963,0.49800601056873345
